iter	Passed	Remaining
0	12	11999
1	22	11409
2	34	11452
3	45	11425
4	57	11378
5	68	11303
6	79	11344
7	90	11277
8	102	11255
9	113	11283
10	125	11247
11	136	11248
12	148	11282
13	160	11284
14	172	11352
15	185	11418
16	198	11475
17	210	11482
18	222	11513
19	235	11534
20	248	11575
21	260	11587
22	273	11625
23	285	11625
24	298	11639
25	310	11643
26	325	11738
27	338	11765
28	350	11737
29	361	11684
30	372	11635
31	383	11595
32	393	11542
33	404	11501
34	415	11450
35	426	11429
36	437	11384
37	447	11340
38	459	11324
39	470	11288
40	481	11254
41	492	11230
42	503	11215
43	514	11183
44	525	11146
45	535	11107
46	546	11085
47	558	11068
48	568	11034
49	579	11005
50	590	10993
51	601	10966
52	611	10929
53	622	10911
54	634	10895
55	645	10885
56	657	10874
57	668	10852
58	678	10825
59	689	10806
60	700	10785
61	711	10767
62	723	10756
63	733	10728
64	744	10703
65	755	10684
66	765	10664
67	776	10645
68	788	10637
69	799	10618
70	809	10597
71	821	10589
72	832	10573
73	843	10550
74	854	10536
75	865	10523
76	876	10508
77	889	10508
78	899	10485
79	911	10477
80	922	10470
81	934	10460
82	945	10446
83	957	10437
84	969	10439
85	983	10447
86	996	10456
87	1010	10468
88	1022	10471
89	1035	10469
90	1046	10449
91	1057	10440
92	1069	10430
93	1080	10412
94	1091	10399
95	1102	10379
96	1112	10361
97	1124	10349
98	1135	10334
99	1145	10313
100	1156	10296
101	1167	10277
102	1177	10256
103	1188	10242
104	1199	10226
105	1210	10207
106	1221	10195
107	1231	10174
108	1242	10157
109	1253	10141
110	1264	10124
111	1274	10107
112	1285	10090
113	1296	10077
114	1307	10065
115	1319	10054
116	1330	10044
117	1342	10033
118	1353	10023
119	1364	10009
120	1376	9997
121	1388	9993
122	1400	9987
123	1411	9973
124	1423	9964
125	1435	9956
126	1446	9941
127	1457	9927
128	1468	9917
129	1479	9903
130	1490	9887
131	1501	9872
132	1511	9853
133	1522	9840
134	1533	9827
135	1544	9811
136	1554	9795
137	1566	9782
138	1576	9767
139	1587	9752
140	1598	9738
141	1609	9723
142	1620	9709
143	1630	9691
144	1640	9675
145	1652	9666
146	1663	9654
147	1674	9638
148	1685	9626
149	1696	9612
150	1706	9593
151	1716	9578
152	1727	9563
153	1738	9550
154	1749	9537
155	1760	9522
156	1771	9509
157	1782	9499
158	1793	9485
159	1804	9471
160	1814	9455
161	1824	9440
162	1835	9427
163	1846	9410
164	1856	9394
165	1867	9384
166	1878	9370
167	1889	9357
168	1901	9348
169	1913	9340
170	1924	9330
171	1935	9318
172	1947	9309
173	1958	9297
174	1969	9284
175	1980	9274
176	1992	9262
177	2003	9250
178	2014	9239
179	2025	9228
180	2037	9218
181	2049	9209
182	2060	9197
183	2071	9187
184	2083	9179
185	2094	9168
186	2105	9153
187	2116	9140
188	2126	9125
189	2137	9111
190	2147	9096
191	2158	9082
192	2168	9068
193	2180	9057
194	2190	9044
195	2201	9030
196	2212	9019
197	2222	9004
198	2233	8989
199	2244	8979
200	2256	8968
201	2267	8957
202	2278	8944
203	2289	8933
204	2300	8921
205	2313	8915
206	2324	8903
207	2335	8891
208	2346	8881
209	2358	8870
210	2369	8860
211	2381	8851
212	2393	8843
213	2404	8830
214	2414	8816
215	2425	8804
216	2436	8790
217	2446	8777
218	2457	8764
219	2468	8750
220	2479	8739
221	2489	8726
222	2500	8712
223	2511	8702
224	2522	8690
225	2533	8677
226	2545	8667
227	2556	8655
228	2566	8642
229	2578	8631
230	2589	8619
231	2599	8606
232	2610	8593
233	2621	8580
234	2632	8568
235	2643	8556
236	2654	8544
237	2664	8531
238	2675	8519
239	2685	8505
240	2696	8491
241	2707	8480
242	2718	8468
243	2728	8454
244	2740	8443
245	2750	8430
246	2761	8419
247	2774	8412
248	2785	8400
249	2796	8390
250	2808	8380
251	2820	8371
252	2830	8358
253	2842	8347
254	2853	8335
255	2864	8325
256	2875	8313
257	2887	8305
258	2899	8296
259	2910	8284
260	2922	8274
261	2933	8263
262	2944	8251
263	2956	8242
264	2967	8229
265	2977	8215
266	2988	8204
267	2998	8190
268	3009	8177
269	3020	8166
270	3031	8153
271	3041	8141
272	3053	8131
273	3064	8119
274	3075	8108
275	3086	8097
276	3097	8084
277	3108	8072
278	3118	8060
279	3129	8048
280	3141	8037
281	3152	8025
282	3162	8012
283	3173	7999
284	3183	7986
285	3193	7973
286	3204	7961
287	3215	7950
288	3226	7938
289	3237	7926
290	3247	7912
291	3257	7899
292	3268	7887
293	3279	7875
294	3290	7864
295	3302	7854
296	3312	7841
297	3323	7828
298	3334	7817
299	3345	7806
300	3356	7793
301	3367	7783
302	3378	7772
303	3388	7758
304	3400	7749
305	3411	7737
306	3421	7724
307	3433	7713
308	3443	7700
309	3453	7687
310	3464	7676
311	3475	7663
312	3485	7650
313	3496	7639
314	3507	7626
315	3517	7614
316	3528	7603
317	3539	7591
318	3550	7580
319	3561	7568
320	3572	7555
321	3582	7543
322	3593	7531
323	3603	7518
324	3614	7507
325	3625	7495
326	3635	7483
327	3647	7472
328	3658	7461
329	3669	7449
330	3680	7439
331	3691	7427
332	3701	7414
333	3711	7401
334	3722	7388
335	3733	7377
336	3743	7364
337	3753	7352
338	3764	7340
339	3775	7328
340	3785	7316
341	3797	7306
342	3808	7294
343	3819	7283
344	3830	7272
345	3841	7261
346	3852	7248
347	3863	7238
348	3874	7226
349	3885	7216
350	3896	7205
351	3907	7193
352	3918	7181
353	3929	7169
354	3939	7157
355	3950	7146
356	3961	7134
357	3971	7122
358	3982	7111
359	3993	7099
360	4004	7087
361	4014	7075
362	4026	7065
363	4037	7054
364	4048	7042
365	4059	7032
366	4071	7021
367	4082	7010
368	4094	7001
369	4105	6990
370	4116	6979
